date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:06	17852/17852	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Jun%202016%2003:07:09%20GMT	http://www.gkf.kr/sub/business/business_1.asp	C:/My%20Web%20Sites/giga/www.gkf.kr/sub/business/business_1.html	(from )
12:07:07	1466/1466	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202016%2003:07:09%20GMT	http://www.gkf.kr/robots.txt		(from )
12:07:07	749/749	---M--	200	added ('OK')	text/css	etag:%22ba2426a72d68d01:2d56%22	http://www.gkf.kr/common/css/style.css	C:/My%20Web%20Sites/giga/www.gkf.kr/common/css/style.css	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:07	1713/1713	---M--	200	added ('OK')	application/x-javascript	etag:%22de6bcaae614d01:2d56%22	http://www.gkf.kr/common/js/script.js	C:/My%20Web%20Sites/giga/www.gkf.kr/common/js/script.js	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:09	105665/105665	---M--	200	added ('OK')	application/x-javascript	etag:%22b4f6f6a9e614d01:2d56%22	http://www.gkf.kr/common/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/giga/www.gkf.kr/common/js/jquery-1.9.1.min.js	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:09	5413/5413	---M--	200	added ('OK')	application/x-javascript	etag:%22325637aae614d01:2d56%22	http://www.gkf.kr/common/js/yetii.js	C:/My%20Web%20Sites/giga/www.gkf.kr/common/js/yetii.js	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:10	20346/20346	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Jun%202016%2003:07:12%20GMT	http://www.gkf.kr/sub/business/business_2.asp	C:/My%20Web%20Sites/giga/www.gkf.kr/sub/business/business_2.html	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:11	18002/18002	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Jun%202016%2003:07:13%20GMT	http://www.gkf.kr/sub/business/business_3.asp	C:/My%20Web%20Sites/giga/www.gkf.kr/sub/business/business_3.html	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:12	23769/23769	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Jun%202016%2003:07:14%20GMT	http://www.gkf.kr/sub/business/business_4.asp	C:/My%20Web%20Sites/giga/www.gkf.kr/sub/business/business_4.html	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:12	464/464	---M--	200	added ('OK')	image/gif	etag:%22d4df1111d59d01:2d56%22	http://www.gkf.kr/images/include/tit_quick.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/tit_quick.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:12	302/302	---M--	200	added ('OK')	image/png	etag:%228e1cee10d59d01:2d56%22	http://www.gkf.kr/images/include/q_1.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/q_1.png	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:13	346/346	---M--	200	added ('OK')	image/png	etag:%224859ca10d59d01:2d56%22	http://www.gkf.kr/images/include/q_2.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/q_2.png	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:13	7247/7247	---M--	200	added ('OK')	image/png	etag:%228aac84bdb27d01:2d56%22	http://www.gkf.kr/images/include/top_logo.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/top_logo.png	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:13	333/333	---M--	200	added ('OK')	image/png	etag:%22296a610d59d01:2d56%22	http://www.gkf.kr/images/include/q_3.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/q_3.png	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:13	373/373	---M--	200	added ('OK')	image/png	etag:%2216358510d59d01:2d56%22	http://www.gkf.kr/images/include/q_4.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/include/q_4.png	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:13	459/459	---M--	200	added ('OK')	image/gif	etag:%22c46dbbcd8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_b_1.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_b_1.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:14	488/488	---M--	200	added ('OK')	image/gif	etag:%2241e692cd8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_b_2.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_b_2.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:14	496/496	---M--	200	added ('OK')	image/gif	etag:%22be5e6acd8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_b_3.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_b_3.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:14	513/513	---M--	200	added ('OK')	image/gif	etag:%223bd741cd8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_b_4.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_b_4.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:14	531/531	---M--	200	added ('OK')	image/gif	etag:%2265ed16cd8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_b_5.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_b_5.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:14	522/522	---M--	200	added ('OK')	image/gif	etag:%22d6474ccc8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_b_6.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_b_6.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:15	479/479	---M--	200	added ('OK')	image/gif	etag:%2253c023cc8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_b_7.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_b_7.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:15	2684/2684	---M--	200	added ('OK')	image/gif	etag:%2259cf74cc8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_y_1.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_y_1.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
12:07:15	2738/2738	---M--	200	added ('OK')	image/gif	etag:%2235c8f0cc8c1ed01:2d56%22	http://www.gkf.kr/images/sub/tit_y_2.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_y_2.gif	(from http://www.gkf.kr/sub/business/business_1.asp)
